1.000000000000000000e+02,7.915687608718872115e-01,7.998545290121139573e-01,7.891499948501586870e-01,7.980467047216178722e-01,7.988999986648559481e-01,8.005848938858811659e-01
2.000000000000000000e+02,6.965343809127807484e-01,7.713264779269758398e-01,6.966499996185302468e-01,7.661960232524113179e-01,7.224499988555908025e-01,7.959866765813983225e-01
3.000000000000000000e+02,7.484666681289673384e-01,8.495644098871220073e-01,7.476666855812073020e-01,8.459928538253671526e-01,7.486666536331176847e-01,8.470385887946846326e-01
4.000000000000000000e+02,7.912203156948089955e-01,8.791701999661316602e-01,7.820874929428101030e-01,8.788711316505017912e-01,7.826374983787536266e-01,8.683049851892943316e-01
5.000000000000000000e+02,8.047362422943115101e-01,8.934838548333173813e-01,7.981799960136413130e-01,8.855232931856267253e-01,7.925099825859069913e-01,8.780740570489788954e-01
6.000000000000000000e+02,8.048312568664550692e-01,8.848991633605409746e-01,7.972083139419555708e-01,8.788508302830346786e-01,7.864416599273681419e-01,8.685431157031899829e-01
7.000000000000000000e+02,8.232437467575073331e-01,8.925134580060674061e-01,8.065214490890503241e-01,8.855657931067897337e-01,8.059857130050659402e-01,8.777988525343960458e-01
8.000000000000000000e+02,8.176390612125397084e-01,8.892536769349499437e-01,8.147312474250792969e-01,8.837410026389299622e-01,8.108999776840210005e-01,8.829412400960870988e-01
9.000000000000000000e+02,8.111888885498046431e-01,8.734304152452359027e-01,8.091222167015075240e-01,8.683562632540188231e-01,8.013500165939331232e-01,8.703562987388492322e-01
1.000000000000000000e+03,8.244299960136413086e-01,8.871956466987097611e-01,8.246949911117553711e-01,8.828147700841927348e-01,8.157199907302856712e-01,8.792580030326682117e-01
